attempt    arraySize    insertionSortTime    mergeSortTime    diffTime
4    77    0.000070    0.000071    0.000001
4    78    0.000083    0.000073    0.000010
4    79    0.000085    0.000074    0.000011
4    80    0.000085    0.000074    0.000011
4    81    0.000069    0.000076    0.000007
4    82    0.000085    0.000077    0.000008
4    83    0.000089    0.000078    0.000011
4    84    0.000080    0.000080    0.000000
4    85    0.000072    0.000080    0.000008
4    86    0.000086    0.000082    0.000004
4    87    0.000091    0.000082    0.000009
4    88    0.000093    0.000084    0.000009
4    89    0.000090    0.000085    0.000005
4    90    0.000097    0.000084    0.000013
4    91    0.000106    0.000088    0.000018
4    92    0.000095    0.000088    0.000007
4    93    0.000117    0.000089    0.000028
4    94    0.000100    0.000091    0.000009
4    95    0.000110    0.000091    0.000019
4    96    0.000092    0.000090    0.000002
4    97    0.000100    0.000093    0.000007
4    98    0.000108    0.000093    0.000015
4    99    0.000121    0.000096    0.000025
4    100    0.000122    0.000096    0.000026
4    101    0.000127    0.000098    0.000029
4    102    0.000118    0.000100    0.000018
4    103    0.000108    0.000100    0.000008
4    104    0.000136    0.000100    0.000036
4    105    0.000133    0.000109    0.000024
4    106    0.000145    0.000104    0.000041
4    107    0.000123    0.000105    0.000018
4    108    0.000137    0.000105    0.000032
4    109    0.000137    0.000107    0.000030
4    110    0.000148    0.000107    0.000041
4    111    0.000131    0.000110    0.000021
4    112    0.000166    0.000110    0.000056
4    113    0.000139    0.000111    0.000028
4    114    0.000145    0.000111    0.000034
4    115    0.000166    0.000112    0.000054
4    116    0.000155    0.000113    0.000042
4    117    0.000154    0.000115    0.000039
4    118    0.000153    0.000117    0.000036
4    119    0.000167    0.000117    0.000050
4    120    0.000182    0.000118    0.000064
4    121    0.000179    0.000120    0.000059
4    122    0.000180    0.000119    0.000061
4    123    0.000180    0.000121    0.000059
4    124    0.000187    0.000123    0.000064
4    125    0.000175    0.000124    0.000051
4    126    0.000177    0.000125    0.000052
4    127    0.000187    0.000125    0.000062
4    128    0.000191    0.000127    0.000064
4    129    0.000172    0.000128    0.000044
4    130    0.000199    0.000130    0.000069
4    131    0.000201    0.000131    0.000070
4    132    0.000193    0.000139    0.000054
4    133    0.000209    0.000132    0.000077
4    134    0.000202    0.000135    0.000067
4    135    0.000211    0.000136    0.000075
4    136    0.000195    0.000137    0.000058
4    137    0.000206    0.000139    0.000067
4    138    0.000211    0.000140    0.000071
4    139    0.000228    0.000141    0.000087
4    140    0.000227    0.000140    0.000087
4    141    0.000224    0.000143    0.000081
4    142    0.000240    0.000144    0.000096
4    143    0.000238    0.000146    0.000092
4    144    0.000237    0.000145    0.000092
4    145    0.000259    0.000147    0.000112
4    146    0.000238    0.000148    0.000090
4    147    0.000224    0.000152    0.000072
4    148    0.000247    0.000151    0.000096
4    149    0.000257    0.000151    0.000106
4    150    0.000254    0.000154    0.000100
5    20    0.000007    0.000015    0.000008
5    21    0.000007    0.000016    0.000009
5    22    0.000009    0.000017    0.000008
5    23    0.000009    0.000017    0.000008
5    24    0.000008    0.000019    0.000011
5    25    0.000009    0.000019    0.000010
5    26    0.000010    0.000020    0.000010
5    27    0.000011    0.000021    0.000010
5    28    0.000010    0.000021    0.000011
5    29    0.000013    0.000023    0.000010
5    30    0.000014    0.000024    0.000010
5    31    0.000012    0.000025    0.000013
5    32    0.000016    0.000025    0.000009
5    33    0.000014    0.000026    0.000012
5    34    0.000017    0.000028    0.000011
5    35    0.000018    0.000029    0.000011
5    36    0.000016    0.000030    0.000014
5    37    0.000018    0.000030    0.000012
5    38    0.000021    0.000031    0.000010
5    39    0.000020    0.000033    0.000013
5    40    0.000026    0.000033    0.000007
5    41    0.000020    0.000034    0.000014
5    42    0.000023    0.000035    0.000012
5    43    0.000024    0.000036    0.000012
5    44    0.000027    0.000036    0.000009
5    45    0.000026    0.000037    0.000011
5    46    0.000025    0.000038    0.000013
5    47    0.000029    0.000040    0.000011
5    48    0.000030    0.000042    0.000012
5    49    0.000030    0.000042    0.000012
5    50    0.000034    0.000043    0.000009
5    51    0.000030    0.000045    0.000015
5    52    0.000032    0.000045    0.000013
5    53    0.000035    0.000046    0.000011
5    54    0.000038    0.000047    0.000009
5    55    0.000036    0.000048    0.000012
5    56    0.000037    0.000048    0.000011
5    57    0.000043    0.000050    0.000007
5    58    0.000039    0.000051    0.000012
5    59    0.000047    0.000052    0.000005
5    60    0.000048    0.000053    0.000005
5    61    0.000043    0.000055    0.000012
5    62    0.000046    0.000056    0.000010
5    63    0.000046    0.000057    0.000011
5    64    0.000044    0.000057    0.000013
5    65    0.000047    0.000059    0.000012
5    66    0.000053    0.000059    0.000006
5    67    0.000056    0.000060    0.000004
5    68    0.000052    0.000061    0.000009
5    69    0.000065    0.000064    0.000001
5    70    0.000064    0.000065    0.000001
5    71    0.000068    0.000065    0.000003
5    72    0.000068    0.000066    0.000002
5    73    0.000061    0.000068    0.000007
5    74    0.000068    0.000068    0.000000
5    75    0.000067    0.000070    0.000003
5    76    0.000070    0.000071    0.000001
5    77    0.000072    0.000070    0.000002
5    78    0.000074    0.000072    0.000002
5    79    0.000071    0.000074    0.000003
5    80    0.000073    0.000074    0.000001
5    81    0.000079    0.000077    0.000002
5    82    0.000085    0.000077    0.000008
5    83    0.000080    0.000079    0.000001
5    84    0.000090    0.000078    0.000012
5    85    0.000070    0.000081    0.000011
5    86    0.000092    0.000081    0.000011
5    87    0.000100    0.000084    0.000016
5    88    0.000094    0.000084    0.000010
5    89    0.000103    0.000084    0.000019
5    90    0.000105    0.000086    0.000019
5    91    0.000107    0.000086    0.000021
5    92    0.000097    0.000087    0.000010
