attempt    K    arraySize    mergeSortTime    hybridSortTime
2    24    5000    0.005297    0.004038
2    25    5000    0.005292    0.004028
2    26    5000    0.005294    0.004053
2    27    5000    0.005301    0.004029
2    28    5000    0.005303    0.004005
2    29    5000    0.005304    0.004038
2    30    5000    0.005294    0.004034
2    31    5000    0.005293    0.004043
2    32    5000    0.005295    0.004015
2    33    5000    0.005302    0.004059
2    34    5000    0.005301    0.004038
2    35    5000    0.005302    0.004036
2    36    5000    0.005298    0.004036
2    37    5000    0.005298    0.004032
2    38    5000    0.005303    0.004394
2    39    5000    0.005300    0.004407
2    40    5000    0.005294    0.004426
2    41    5000    0.005300    0.004413
2    42    5000    0.005297    0.004424
2    43    5000    0.005309    0.004414
2    44    5000    0.005297    0.004417
2    45    5000    0.005297    0.004424
2    46    5000    0.005294    0.004386
2    47    5000    0.005300    0.004413
2    48    5000    0.005302    0.004419
2    49    5000    0.005301    0.004428
2    50    5000    0.005297    0.004401
2    51    5000    0.005298    0.004408
2    52    5000    0.005301    0.004417
2    53    5000    0.005301    0.004365
2    54    5000    0.005293    0.004427
2    55    5000    0.005294    0.004391
2    56    5000    0.005312    0.004430
2    57    5000    0.005300    0.004394
2    58    5000    0.005292    0.004445
2    59    5000    0.005296    0.004399
2    60    5000    0.005292    0.004382
2    61    5000    0.005302    0.004415
2    62    5000    0.005300    0.004394
2    63    5000    0.005296    0.004412
2    64    5000    0.005297    0.004406
2    65    5000    0.005296    0.004396
2    66    5000    0.005305    0.004411
2    67    5000    0.005295    0.004400
2    68    5000    0.005294    0.004451
2    69    5000    0.005290    0.004418
2    70    5000    0.005313    0.004370
2    71    5000    0.005298    0.004397
2    72    5000    0.005302    0.004424
2    73    5000    0.005296    0.004386
2    74    5000    0.005297    0.004391
2    75    5000    0.005297    0.004378
2    76    5000    0.005301    0.004410
2    77    5000    0.005295    0.005421
2    78    5000    0.005302    0.005636
2    79    5000    0.005304    0.005624
2    80    5000    0.005294    0.005586
3    0    5000    0.005300    0.005522
3    1    5000    0.005295    0.004984
3    2    5000    0.005298    0.004702
3    3    5000    0.005291    0.004661
3    4    5000    0.005301    0.004294
3    5    5000    0.005303    0.004290
3    6    5000    0.005297    0.004286
3    7    5000    0.005297    0.004289
3    8    5000    0.005298    0.004245
3    9    5000    0.005305    0.004085
3    10    5000    0.005299    0.004069
3    11    5000    0.005293    0.004073
3    12    5000    0.005302    0.004068
3    13    5000    0.005302    0.004072
3    14    5000    0.005295    0.004067
3    15    5000    0.005302    0.004067
3    16    5000    0.005299    0.004074
3    17    5000    0.005297    0.004047
3    18    5000    0.005297    0.004056
3    19    5000    0.005300    0.004018
3    20    5000    0.005296    0.004024
3    21    5000    0.005302    0.004037
3    22    5000    0.005293    0.004042
3    23    5000    0.005297    0.004042
3    24    5000    0.005300    0.004038
3    25    5000    0.005302    0.003982
3    26    5000    0.005300    0.004026
3    27    5000    0.005294    0.003987
3    28    5000    0.005298    0.004042
3    29    5000    0.005295    0.004042
3    30    5000    0.005300    0.004048
3    31    5000    0.005302    0.004040
3    32    5000    0.005300    0.004035
3    33    5000    0.005295    0.004039
3    34    5000    0.005302    0.004043
3    35    5000    0.005300    0.004034
3    36    5000    0.005298    0.004025
3    37    5000    0.005303    0.004033
3    38    5000    0.005292    0.004393
3    39    5000    0.005294    0.004433
3    40    5000    0.005307    0.004417
3    41    5000    0.005298    0.004391
3    42    5000    0.005302    0.004401
3    43    5000    0.005298    0.004362
3    44    5000    0.005296    0.004404
3    45    5000    0.005307    0.004393
3    46    5000    0.005300    0.004448
3    47    5000    0.005297    0.004423
3    48    5000    0.005304    0.004430
3    49    5000    0.005307    0.004405
3    50    5000    0.005297    0.004415
3    51    5000    0.005302    0.004408
3    52    5000    0.005296    0.004419
3    53    5000    0.005299    0.004424
3    54    5000    0.005297    0.004420
3    55    5000    0.005301    0.004420
3    56    5000    0.005299    0.004405
3    57    5000    0.005293    0.004425
3    58    5000    0.005305    0.004392
3    59    5000    0.005304    0.004410
3    60    5000    0.005301    0.004420
3    61    5000    0.005297    0.004437
3    62    5000    0.005300    0.004431
3    63    5000    0.005293    0.004406
3    64    5000    0.005298    0.004406
3    65    5000    0.005298    0.004410
3    66    5000    0.005300    0.004427
3    67    5000    0.005301    0.004402
3    68    5000    0.005306    0.004395
3    69    5000    0.005300    0.004439
3    70    5000    0.005299    0.004392
3    71    5000    0.005294    0.004432
3    72    5000    0.005300    0.004412
3    73    5000    0.005299    0.004397
3    74    5000    0.005299    0.004416
3    75    5000    0.005295    0.004411
3    76    5000    0.005304    0.004404
3    77    5000    0.005306    0.005420
3    78    5000    0.005290    0.005575
3    79    5000    0.005297    0.005588
3    80    5000    0.005296    0.005564
4    0    5000    0.005298    0.005530
4    1    5000    0.005296    0.004997
4    2    5000    0.005308    0.004708
4    3    5000    0.005299    0.004654
4    4    5000    0.005294    0.004299
4    5    5000    0.005297    0.004292
4    6    5000    0.005305    0.004282
4    7    5000    0.005298    0.004261
4    8    5000    0.005296    0.004189
4    9    5000    0.005300    0.004079
4    10    5000    0.005298    0.004070
4    11    5000    0.005304    0.004071
4    12    5000    0.005303    0.004061
4    13    5000    0.005300    0.004075
4    14    5000    0.005304    0.004074
4    15    5000    0.005295    0.004063
4    16    5000    0.005304    0.004070
4    17    5000    0.005300    0.004068
4    18    5000    0.005301    0.004061
4    19    5000    0.005294    0.004041
4    20    5000    0.005288    0.004042
4    21    5000    0.005296    0.004043
4    22    5000    0.005303    0.004039
4    23    5000    0.005299    0.004044
4    24    5000    0.005293    0.004025
4    25    5000    0.005298    0.004032
4    26    5000    0.005295    0.004020
4    27    5000    0.005307    0.004041
4    28    5000    0.005300    0.004035
4    29    5000    0.005306    0.004041
4    30    5000    0.005302    0.004047
4    31    5000    0.005299    0.004034
4    32    5000    0.005302    0.004048
4    33    5000    0.005303    0.004046
4    34    5000    0.005301    0.004041
4    35    5000    0.005291    0.004037
4    36    5000    0.005295    0.004036
4    37    5000    0.005296    0.004037
4    38    5000    0.005303    0.004388
4    39    5000    0.005300    0.004401
4    40    5000    0.005299    0.004406
4    41    5000    0.005303    0.004394
4    42    5000    0.005300    0.004387
4    43    5000    0.005305    0.004396
4    44    5000    0.005302    0.004379
4    45    5000    0.005297    0.004429
