attempt    K    arraySize    mergeSortTime    hybridSortTime
198    43    198    0.000054    0.000022
199    43    199    0.000054    0.000023
200    43    200    0.000054    0.000022
201    43    201    0.000055    0.000023
202    43    202    0.000056    0.000023
203    43    203    0.000056    0.000024
204    43    204    0.000056    0.000023
205    43    205    0.000057    0.000022
206    43    206    0.000055    0.000023
207    43    207    0.000057    0.000023
208    43    208    0.000057    0.000024
209    43    209    0.000057    0.000024
210    43    210    0.000058    0.000024
211    43    211    0.000058    0.000023
212    43    212    0.000058    0.000023
213    43    213    0.000058    0.000024
214    43    214    0.000058    0.000024
215    43    215    0.000059    0.000025
216    43    216    0.000058    0.000025
217    43    217    0.000058    0.000025
218    43    218    0.000061    0.000025
219    43    219    0.000061    0.000026
220    43    220    0.000061    0.000026
221    43    221    0.000062    0.000027
222    43    222    0.000061    0.000027
223    43    223    0.000064    0.000027
224    43    224    0.000064    0.000026
225    43    225    0.000063    0.000026
226    43    226    0.000061    0.000026
227    43    227    0.000062    0.000026
228    43    228    0.000062    0.000025
229    43    229    0.000062    0.000026
230    43    230    0.000064    0.000027
231    43    231    0.000063    0.000026
232    43    232    0.000063    0.000027
233    43    233    0.000064    0.000027
234    43    234    0.000064    0.000027
235    43    235    0.000065    0.000027
236    43    236    0.000065    0.000028
237    43    237    0.000065    0.000028
238    43    238    0.000067    0.000029
239    43    239    0.000066    0.000027
240    43    240    0.000067    0.000028
241    43    241    0.000067    0.000029
242    43    242    0.000067    0.000029
243    43    243    0.000068    0.000029
244    43    244    0.000068    0.000029
245    43    245    0.000067    0.000029
246    43    246    0.000068    0.000029
247    43    247    0.000068    0.000030
248    43    248    0.000068    0.000028
249    43    249    0.000067    0.000029
250    43    250    0.000069    0.000030
251    43    251    0.000068    0.000030
252    43    252    0.000070    0.000031
253    43    253    0.000070    0.000030
254    43    254    0.000070    0.000031
255    43    255    0.000070    0.000031
256    43    256    0.000070    0.000031
257    43    257    0.000070    0.000031
258    43    258    0.000071    0.000031
259    43    259    0.000072    0.000031
260    43    260    0.000073    0.000032
261    43    261    0.000071    0.000031
262    43    262    0.000074    0.000031
263    43    263    0.000073    0.000031
264    43    264    0.000073    0.000032
265    43    265    0.000073    0.000032
266    43    266    0.000073    0.000032
267    43    267    0.000074    0.000032
268    43    268    0.000075    0.000032
269    43    269    0.000074    0.000032
270    43    270    0.000076    0.000033
271    43    271    0.000076    0.000031
272    43    272    0.000077    0.000034
273    43    273    0.000077    0.000033
274    43    274    0.000077    0.000033
275    43    275    0.000077    0.000035
276    43    276    0.000077    0.000034
277    43    277    0.000079    0.000033
278    43    278    0.000097    0.000034
279    43    279    0.000080    0.000035
280    43    280    0.000080    0.000034
281    43    281    0.000080    0.000035
282    43    282    0.000080    0.000034
283    43    283    0.000081    0.000034
284    43    284    0.000081    0.000034
285    43    285    0.000081    0.000035
286    43    286    0.000081    0.000034
287    43    287    0.000080    0.000035
288    43    288    0.000081    0.000035
289    43    289    0.000081    0.000036
290    43    290    0.000082    0.000036
291    43    291    0.000083    0.000037
292    43    292    0.000084    0.000036
293    43    293    0.000084    0.000035
294    43    294    0.000084    0.000036
295    43    295    0.000084    0.000036
296    43    296    0.000085    0.000038
297    43    297    0.000085    0.000036
298    43    298    0.000086    0.000038
299    43    299    0.000086    0.000037
300    43    300    0.000086    0.000037
301    43    301    0.000086    0.000038
302    43    302    0.000086    0.000039
303    43    303    0.000086    0.000039
304    43    304    0.000087    0.000039
305    43    305    0.000086    0.000039
306    43    306    0.000088    0.000037
307    43    307    0.000087    0.000039
308    43    308    0.000088    0.000039
309    43    309    0.000088    0.000039
310    43    310    0.000088    0.000039
311    43    311    0.000088    0.000039
312    43    312    0.000089    0.000040
313    43    313    0.000088    0.000039
314    43    314    0.000089    0.000040
315    43    315    0.000089    0.000041
316    43    316    0.000089    0.000040
317    43    317    0.000089    0.000040
318    43    318    0.000089    0.000041
319    43    319    0.000090    0.000041
320    43    320    0.000090    0.000041
321    43    321    0.000090    0.000040
322    43    322    0.000091    0.000041
323    43    323    0.000091    0.000042
324    43    324    0.000091    0.000042
325    43    325    0.000092    0.000042
326    43    326    0.000093    0.000044
327    43    327    0.000093    0.000043
328    43    328    0.000093    0.000043
329    43    329    0.000094    0.000043
330    43    330    0.000094    0.000043
331    43    331    0.000094    0.000043
332    43    332    0.000093    0.000042
333    43    333    0.000095    0.000044
334    43    334    0.000094    0.000043
335    43    335    0.000095    0.000043
336    43    336    0.000095    0.000043
337    43    337    0.000097    0.000044
338    43    338    0.000097    0.000045
339    43    339    0.000097    0.000044
340    43    340    0.000098    0.000044
341    43    341    0.000098    0.000045
342    43    342    0.000099    0.000044
343    43    343    0.000098    0.000045
344    43    344    0.000099    0.000046
345    43    345    0.000114    0.000046
346    43    346    0.000101    0.000054
347    43    347    0.000101    0.000046
348    43    348    0.000101    0.000047
349    43    349    0.000100    0.000045
350    43    350    0.000100    0.000047
351    43    351    0.000101    0.000046
352    43    352    0.000100    0.000045
353    43    353    0.000101    0.000047
354    43    354    0.000101    0.000047
355    43    355    0.000102    0.000047
356    43    356    0.000103    0.000047
357    43    357    0.000102    0.000049
358    43    358    0.000102    0.000047
359    43    359    0.000104    0.000048
360    43    360    0.000103    0.000047
361    43    361    0.000104    0.000049
362    43    362    0.000103    0.000047
363    43    363    0.000105    0.000048
364    43    364    0.000104    0.000048
365    43    365    0.000104    0.000048
366    43    366    0.000105    0.000049
367    43    367    0.000106    0.000050
368    43    368    0.000106    0.000049
369    43    369    0.000106    0.000049
370    43    370    0.000105    0.000049
371    43    371    0.000105    0.000049
372    43    372    0.000111    0.000050
373    43    373    0.000107    0.000048
374    43    374    0.000106    0.000049
375    43    375    0.000107    0.000050
376    43    376    0.000107    0.000050
377    43    377    0.000108    0.000050
378    43    378    0.000108    0.000052
379    43    379    0.000109    0.000050
380    43    380    0.000107    0.000050
381    43    381    0.000108    0.000051
382    43    382    0.000108    0.000051
383    43    383    0.000108    0.000051
384    43    384    0.000109    0.000051
385    43    385    0.000110    0.000051
386    43    386    0.000111    0.000051
387    43    387    0.000111    0.000052
388    43    388    0.000111    0.000051
389    43    389    0.000112    0.000054
390    43    390    0.000111    0.000052
391    43    391    0.000111    0.000052
392    43    392    0.000113    0.000053
393    43    393    0.000113    0.000053
394    43    394    0.000113    0.000053
395    43    395    0.000114    0.000053
396    43    396    0.000115    0.000054
397    43    397    0.000115    0.000053
398    43    398    0.000115    0.000053
399    43    399    0.000114    0.000054
400    43    400    0.000115    0.000054
401    43    401    0.000131    0.000054
402    43    402    0.000116    0.000055
403    43    403    0.000115    0.000053
404    43    404    0.000116    0.000054
405    43    405    0.000116    0.000053
406    43    406    0.000117    0.000054
407    43    407    0.000119    0.000054
408    43    408    0.000118    0.000054
409    43    409    0.000118    0.000055
410    43    410    0.000119    0.000056
411    43    411    0.000119    0.000056
412    43    412    0.000119    0.000055
413    43    413    0.000119    0.000054
414    43    414    0.000121    0.000056
415    43    415    0.000121    0.000056
416    43    416    0.000120    0.000056
417    43    417    0.000121    0.000057
418    43    418    0.000122    0.000058
